"Method","DupRate","LossRate","InputType","Replicate","Error"
"MulRF","0.2",0.5,"Input: Est. (500bp)",14,0.159473186135292
"DupTree","0.2",0.5,"Input: Est. (500bp)",14,0.0941525572095998
"A-Pro","0.2",0.5,"Input: Est. (500bp)",14,0.0281951341312379
"MulRF","1",0.5,"Input: Est. (500bp)",14,0.10981043310836
"DupTree","1",0.5,"Input: Est. (500bp)",14,0.0846949852420948
"A-Pro","1",0.5,"Input: Est. (500bp)",14,0.0524660106748342
"MulRF","2",0.5,"Input: Est. (500bp)",14,0.163840750865638
"DupTree","2",0.5,"Input: Est. (500bp)",14,0.0911402783589438
"A-Pro","2",0.5,"Input: Est. (500bp)",14,0.0315492047462612
"MulRF","5",0.5,"Input: Est. (500bp)",14,0.11282979497686
"DupTree","5",0.5,"Input: Est. (500bp)",14,0.0573099916568026
"A-Pro","5",0.5,"Input: Est. (500bp)",14,0.0530983653757721
"MulRF","0",1,"Input: Est. (500bp)",14,0.166668381728232
"DupTree","0",1,"Input: Est. (500bp)",14,0.0602234372636303
"A-Pro","0",1,"Input: Est. (500bp)",14,0.0552830079104751
"MulRF","0.2",1,"Input: Est. (500bp)",14,0.1278426746279
"DupTree","0.2",1,"Input: Est. (500bp)",14,0.0565321166533977
"A-Pro","0.2",1,"Input: Est. (500bp)",14,0.0388011825550348
"MulRF","1",1,"Input: Est. (500bp)",14,0.127221258115023
"DupTree","1",1,"Input: Est. (500bp)",14,0.0895335698849522
"A-Pro","1",1,"Input: Est. (500bp)",14,0.021417214134708
"MulRF","2",1,"Input: Est. (500bp)",14,0.170179027989507
"DupTree","2",1,"Input: Est. (500bp)",14,0.0529475208139047
"A-Pro","2",1,"Input: Est. (500bp)",14,0.0285856735799462
"MulRF","5",1,"Input: Est. (500bp)",14,0.12032218426466
"DupTree","5",1,"Input: Est. (500bp)",14,0.0969446024857462
"A-Pro","5",1,"Input: Est. (500bp)",14,0.0206584487296641
"MulRF","0",0,"Input: true",14,0.115756895765662
"DupTree","0",0,"Input: true",14,0.0898687275242992
"A-Pro","0",0,"Input: true",14,0.0528467726334929
"MulRF","0.2",0,"Input: true",14,0.115933950506151
"DupTree","0.2",0,"Input: true",14,0.0681537116761319
"A-Pro","0.2",0,"Input: true",14,0.0319751058332622
"MulRF","1",0,"Input: true",14,0.102720659393817
"DupTree","1",0,"Input: true",14,0.0718065009219572
"A-Pro","1",0,"Input: true",14,0.0402172061614692
"MulRF","2",0,"Input: true",14,0.103787067197263
"DupTree","2",0,"Input: true",14,0.0865112104685977
"A-Pro","2",0,"Input: true",14,0.0489534084592015
"MulRF","5",0,"Input: true",14,0.130246922746301
"DupTree","5",0,"Input: true",14,0.0711348985088989
"A-Pro","5",0,"Input: true",14,0.0428961301408708
"MulRF","0",0.1,"Input: true",14,0.139563862942159
"DupTree","0",0.1,"Input: true",14,0.0807228750083596
"A-Pro","0",0.1,"Input: true",14,0.0443647877313197
"MulRF","0.2",0.1,"Input: true",14,0.167490530926734
"DupTree","0.2",0.1,"Input: true",14,0.0582042943919078
"A-Pro","0.2",0.1,"Input: true",14,0.0331325047463179
"MulRF","1",0.1,"Input: true",14,0.124799485262483
"DupTree","1",0.1,"Input: true",14,0.0531272175139748
"A-Pro","1",0.1,"Input: true",14,0.056135674752295
"MulRF","2",0.1,"Input: true",14,0.173825882058591
"DupTree","2",0.1,"Input: true",14,0.0550752145121805
"A-Pro","2",0.1,"Input: true",14,0.0308278558589518
"MulRF","5",0.1,"Input: true",14,0.150087344944477
"DupTree","5",0.1,"Input: true",14,0.072365689126309
"A-Pro","5",0.1,"Input: true",14,0.032743456652388
"MulRF","0",0.5,"Input: true",14,0.159392417464405
"DupTree","0",0.5,"Input: true",14,0.0947007275186479
"A-Pro","0",0.5,"Input: true",14,0.0404307963419706
"MulRF","0.2",0.5,"Input: true",14,0.173251890223473
"DupTree","0.2",0.5,"Input: true",14,0.0913355064811185
"A-Pro","0.2",0.5,"Input: true",14,0.0478470240626484
"MulRF","1",0.5,"Input: true",14,0.173595393132418
"DupTree","1",0.5,"Input: true",14,0.0861484217690304
"A-Pro","1",0.5,"Input: true",14,0.0519931514840573
"MulRF","2",0.5,"Input: true",14,0.111341295223683
"DupTree","2",0.5,"Input: true",14,0.097681386966724
"A-Pro","2",0.5,"Input: true",14,0.0309648418892175
"MulRF","5",0.5,"Input: true",14,0.158666134346277
"DupTree","5",0.5,"Input: true",14,0.0678039786638692
"A-Pro","5",0.5,"Input: true",14,0.0408438437618315
"MulRF","0",1,"Input: true",14,0.13711093692109
"DupTree","0",1,"Input: true",14,0.0625490868114866
"A-Pro","0",1,"Input: true",14,0.0549288789369166
"MulRF","0.2",1,"Input: true",14,0.172136336062104
"DupTree","0.2",1,"Input: true",14,0.0891251100692898
"A-Pro","0.2",1,"Input: true",14,0.0331468301452696
"MulRF","1",1,"Input: true",14,0.121569500248879
"DupTree","1",1,"Input: true",14,0.0806984597002156
"A-Pro","1",1,"Input: true",14,0.0483399862423539
"MulRF","2",1,"Input: true",14,0.157844529766589
"DupTree","2",1,"Input: true",14,0.0884508546208963
"A-Pro","2",1,"Input: true",14,0.0349747651815414
"MulRF","5",1,"Input: true",14,0.15074455788359
"DupTree","5",1,"Input: true",14,0.0511211974895559
"A-Pro","5",1,"Input: true",14,0.0212090154271573
"MulRF","0",0,"Input: Est. (100bp)",15,0.161658988855779
"DupTree","0",0,"Input: Est. (100bp)",15,0.0648823234369047
"A-Pro","0",0,"Input: Est. (100bp)",15,0.0335147549398243
"MulRF","0.2",0,"Input: Est. (100bp)",15,0.114307933114469
"DupTree","0.2",0,"Input: Est. (100bp)",15,0.0515229004784487
"A-Pro","0.2",0,"Input: Est. (100bp)",15,0.0565449945442378
"MulRF","1",0,"Input: Est. (100bp)",15,0.130185089539737
"DupTree","1",0,"Input: Est. (100bp)",15,0.0998111192602664
"A-Pro","1",0,"Input: Est. (100bp)",15,0.0398082553129643
"MulRF","2",0,"Input: Est. (100bp)",15,0.175977919492871
"DupTree","2",0,"Input: Est. (100bp)",15,0.0774001764832065
"A-Pro","2",0,"Input: Est. (100bp)",15,0.0352525018900633
"MulRF","5",0,"Input: Est. (100bp)",15,0.153196283336729
"DupTree","5",0,"Input: Est. (100bp)",15,0.0811180672491901
"A-Pro","5",0,"Input: Est. (100bp)",15,0.0552366647962481
"MulRF","0",0.1,"Input: Est. (100bp)",15,0.107354236282408
"DupTree","0",0.1,"Input: Est. (100bp)",15,0.0847131000482477
"A-Pro","0",0.1,"Input: Est. (100bp)",15,0.0411514743324369
"MulRF","0.2",0.1,"Input: Est. (100bp)",15,0.169587749931961
"DupTree","0.2",0.1,"Input: Est. (100bp)",15,0.0992925413185731
"A-Pro","0.2",0.1,"Input: Est. (100bp)",15,0.0522480157297105
"MulRF","1",0.1,"Input: Est. (100bp)",15,0.112298370189965
"DupTree","1",0.1,"Input: Est. (100bp)",15,0.0910103316535242
"A-Pro","1",0.1,"Input: Est. (100bp)",15,0.025019684555009
"MulRF","2",0.1,"Input: Est. (100bp)",15,0.152865558993071
"DupTree","2",0.1,"Input: Est. (100bp)",15,0.0941771935555153
"A-Pro","2",0.1,"Input: Est. (100bp)",15,0.0574142160825431
"MulRF","5",0.1,"Input: Est. (100bp)",15,0.176558267585933
"DupTree","5",0.1,"Input: Est. (100bp)",15,0.091043302800972
"A-Pro","5",0.1,"Input: Est. (100bp)",15,0.0326762734539807
"MulRF","0",0.5,"Input: Est. (100bp)",15,0.147257538642734
"DupTree","0",0.5,"Input: Est. (100bp)",15,0.0818737724795938
"A-Pro","0",0.5,"Input: Est. (100bp)",15,0.0332055730372667
"MulRF","0.2",0.5,"Input: Est. (100bp)",15,0.133027175273746
"DupTree","0.2",0.5,"Input: Est. (100bp)",15,0.0777087075752206
"A-Pro","0.2",0.5,"Input: Est. (100bp)",15,0.0437461726274341
"MulRF","1",0.5,"Input: Est. (100bp)",15,0.136518038548529
"DupTree","1",0.5,"Input: Est. (100bp)",15,0.0550410480005667
"A-Pro","1",0.5,"Input: Est. (100bp)",15,0.0362189916241914
"MulRF","2",0.5,"Input: Est. (100bp)",15,0.118600019551814
"DupTree","2",0.5,"Input: Est. (100bp)",15,0.0900930094067007
"A-Pro","2",0.5,"Input: Est. (100bp)",15,0.0512253921572119
"MulRF","5",0.5,"Input: Est. (100bp)",15,0.135598984565586
"DupTree","5",0.5,"Input: Est. (100bp)",15,0.0774756672559306
"A-Pro","5",0.5,"Input: Est. (100bp)",15,0.0375027224328369
"MulRF","0",1,"Input: Est. (100bp)",15,0.166672136988491
"DupTree","0",1,"Input: Est. (100bp)",15,0.0714953985414468
"A-Pro","0",1,"Input: Est. (100bp)",15,0.0383299851138145
"MulRF","0.2",1,"Input: Est. (100bp)",15,0.106892237719148
"DupTree","0.2",1,"Input: Est. (100bp)",15,0.0673353347578086
"A-Pro","0.2",1,"Input: Est. (100bp)",15,0.0517530244681984
"MulRF","1",1,"Input: Est. (100bp)",15,0.142586874049157
"DupTree","1",1,"Input: Est. (100bp)",15,0.0508371471543796
"A-Pro","1",1,"Input: Est. (100bp)",15,0.0586131796054542
"MulRF","2",1,"Input: Est. (100bp)",15,0.109192075766623
"DupTree","2",1,"Input: Est. (100bp)",15,0.0968514012056403
"A-Pro","2",1,"Input: Est. (100bp)",15,0.0463607070222497
"MulRF","5",1,"Input: Est. (100bp)",15,0.106201547626406
"DupTree","5",1,"Input: Est. (100bp)",15,0.0798796077608131
"A-Pro","5",1,"Input: Est. (100bp)",15,0.0527126300707459
"MulRF","0",0,"Input: Est. (500bp)",15,0.159462531339377
"DupTree","0",0,"Input: Est. (500bp)",15,0.0785621487651952
"A-Pro","0",0,"Input: Est. (500bp)",15,0.030684442538768
"MulRF","0.2",0,"Input: Est. (500bp)",15,0.111456354279071
"DupTree","0.2",0,"Input: Est. (500bp)",15,0.084392771217972
"A-Pro","0.2",0,"Input: Est. (500bp)",15,0.0286312786489725
"MulRF","1",0,"Input: Est. (500bp)",15,0.174584447238594
"DupTree","1",0,"Input: Est. (500bp)",15,0.0663355244789273
"A-Pro","1",0,"Input: Est. (500bp)",15,0.0362855471577495
"MulRF","2",0,"Input: Est. (500bp)",15,0.130757518429309
"DupTree","2",0,"Input: Est. (500bp)",15,0.0763321084086783
"A-Pro","2",0,"Input: Est. (500bp)",15,0.038999200919643
"MulRF","5",0,"Input: Est. (500bp)",15,0.150187468975782
"DupTree","5",0,"Input: Est. (500bp)",15,0.0739637331687845
"A-Pro","5",0,"Input: Est. (500bp)",15,0.0480752054508775
"MulRF","0",0.1,"Input: Est. (500bp)",15,0.16736883468926
"DupTree","0",0.1,"Input: Est. (500bp)",15,0.0720528445090167
"A-Pro","0",0.1,"Input: Est. (500bp)",15,0.0503569709695876
"MulRF","0.2",0.1,"Input: Est. (500bp)",15,0.165454330798239
"DupTree","0.2",0.1,"Input: Est. (500bp)",15,0.0891831084853038
"A-Pro","0.2",0.1,"Input: Est. (500bp)",15,0.0477685412857681
"MulRF","1",0.1,"Input: Est. (500bp)",15,0.149628631453961
"DupTree","1",0.1,"Input: Est. (500bp)",15,0.0854781660600565
"A-Pro","1",0.1,"Input: Est. (500bp)",15,0.0296002065949142
"MulRF","2",0.1,"Input: Est. (500bp)",15,0.110042528621852
"DupTree","2",0.1,"Input: Est. (500bp)",15,0.0702687331126072
"A-Pro","2",0.1,"Input: Est. (500bp)",15,0.0581115637347102
"MulRF","5",0.1,"Input: Est. (500bp)",15,0.114890444949269
"DupTree","5",0.1,"Input: Est. (500bp)",15,0.0813254950451665
"A-Pro","5",0.1,"Input: Est. (500bp)",15,0.0517500105965883
"MulRF","0",0.5,"Input: Est. (500bp)",15,0.159329587239772
"DupTree","0",0.5,"Input: Est. (500bp)",15,0.0719674164429307
"A-Pro","0",0.5,"Input: Est. (500bp)",15,0.0387869890034199
"MulRF","0.2",0.5,"Input: Est. (500bp)",15,0.132183169946074
"DupTree","0.2",0.5,"Input: Est. (500bp)",15,0.0884004556690343
"A-Pro","0.2",0.5,"Input: Est. (500bp)",15,0.0496027596481144
"MulRF","1",0.5,"Input: Est. (500bp)",15,0.113805606476963
"DupTree","1",0.5,"Input: Est. (500bp)",15,0.0663392763235606
"A-Pro","1",0.5,"Input: Est. (500bp)",15,0.0205525164306164
"MulRF","2",0.5,"Input: Est. (500bp)",15,0.174908685348928
"DupTree","2",0.5,"Input: Est. (500bp)",15,0.0924770533572882
"A-Pro","2",0.5,"Input: Est. (500bp)",15,0.0559317164123058
"MulRF","5",0.5,"Input: Est. (500bp)",15,0.12458380041644
"DupTree","5",0.5,"Input: Est. (500bp)",15,0.0674526147427969
"A-Pro","5",0.5,"Input: Est. (500bp)",15,0.0413773759640753
"MulRF","0",1,"Input: Est. (500bp)",15,0.140789572373033
"DupTree","0",1,"Input: Est. (500bp)",15,0.0935768877156079
"A-Pro","0",1,"Input: Est. (500bp)",15,0.0547223157808185
"MulRF","0.2",1,"Input: Est. (500bp)",15,0.125290972050279
"DupTree","0.2",1,"Input: Est. (500bp)",15,0.0981096465606243
"A-Pro","0.2",1,"Input: Est. (500bp)",15,0.0571598388440907
"MulRF","1",1,"Input: Est. (500bp)",15,0.159702173862606
"DupTree","1",1,"Input: Est. (500bp)",15,0.098046542762313
"A-Pro","1",1,"Input: Est. (500bp)",15,0.0345940656680614
"MulRF","2",1,"Input: Est. (500bp)",15,0.103542986139655
"DupTree","2",1,"Input: Est. (500bp)",15,0.0735554959625006
"A-Pro","2",1,"Input: Est. (500bp)",15,0.031616123886779
"MulRF","5",1,"Input: Est. (500bp)",15,0.149211878646165
"DupTree","5",1,"Input: Est. (500bp)",15,0.0708724263356999
"A-Pro","5",1,"Input: Est. (500bp)",15,0.0295181772205979
"MulRF","0",0,"Input: true",15,0.122378516234458
"DupTree","0",0,"Input: true",15,0.0603582056006417
"A-Pro","0",0,"Input: true",15,0.0271270659565926
"MulRF","0.2",0,"Input: true",15,0.114185018092394
"DupTree","0.2",0,"Input: true",15,0.0984339936054312
"A-Pro","0.2",0,"Input: true",15,0.0279433528427035
"MulRF","1",0,"Input: true",15,0.179972081128508
"DupTree","1",0,"Input: true",15,0.0670427132048644
"A-Pro","1",0,"Input: true",15,0.0213610351737589
"MulRF","2",0,"Input: true",15,0.105783533286303
"DupTree","2",0,"Input: true",15,0.0611762740300037
"A-Pro","2",0,"Input: true",15,0.0577510620839894
"MulRF","5",0,"Input: true",15,0.171170363128185
"DupTree","5",0,"Input: true",15,0.0696840895689093
"A-Pro","5",0,"Input: true",15,0.0535713088605553
"MulRF","0",0.1,"Input: true",15,0.148581511806697
"DupTree","0",0.1,"Input: true",15,0.0902787966304459
"A-Pro","0",0.1,"Input: true",15,0.0204891259782016
"MulRF","0.2",0.1,"Input: true",15,0.103365836851299
"DupTree","0.2",0.1,"Input: true",15,0.0605557368253358
"A-Pro","0.2",0.1,"Input: true",15,0.0548171008005738
"MulRF","1",0.1,"Input: true",15,0.121838189810514
"DupTree","1",0.1,"Input: true",15,0.0554840366356075
"A-Pro","1",0.1,"Input: true",15,0.0466705845482647
"MulRF","2",0.1,"Input: true",15,0.130850741490722
"DupTree","2",0.1,"Input: true",15,0.0575401160400361
"A-Pro","2",0.1,"Input: true",15,0.0386739704106003
"MulRF","5",0.1,"Input: true",15,0.143372947108001
"DupTree","5",0.1,"Input: true",15,0.0741953669814393
"A-Pro","5",0.1,"Input: true",15,0.0265233256388456
"MulRF","0",0.5,"Input: true",15,0.102494739685208
"DupTree","0",0.5,"Input: true",15,0.0568213569698855
"A-Pro","0",0.5,"Input: true",15,0.0273962279129773
"MulRF","0.2",0.5,"Input: true",15,0.111391042992473
"DupTree","0.2",0.5,"Input: true",15,0.094555203570053
"A-Pro","0.2",0.5,"Input: true",15,0.0261136683449149
"MulRF","1",0.5,"Input: true",15,0.133391352258623
"DupTree","1",0.5,"Input: true",15,0.0697866683360189
"A-Pro","1",0.5,"Input: true",15,0.0437791252601892
"MulRF","2",0.5,"Input: true",15,0.135554921254516
"DupTree","2",0.5,"Input: true",15,0.0910170685616322
"A-Pro","2",0.5,"Input: true",15,0.0546752690058201
"MulRF","5",0.5,"Input: true",15,0.174228022359312
"DupTree","5",0.5,"Input: true",15,0.0822587535367347
"A-Pro","5",0.5,"Input: true",15,0.0471968716010451
"MulRF","0",1,"Input: true",15,0.158344795964658
"DupTree","0",1,"Input: true",15,0.0653324766783044
"A-Pro","0",1,"Input: true",15,0.0205195445939899
"MulRF","0.2",1,"Input: true",15,0.105143917854875
"DupTree","0.2",1,"Input: true",15,0.0959732945309952
"A-Pro","0.2",1,"Input: true",15,0.0420689223054796
"MulRF","1",1,"Input: true",15,0.125482594650239
"DupTree","1",1,"Input: true",15,0.0878802651772276
"A-Pro","1",1,"Input: true",15,0.0525642963219434
"MulRF","2",1,"Input: true",15,0.152667472921312
"DupTree","2",1,"Input: true",15,0.0516196092474274
"A-Pro","2",1,"Input: true",15,0.0248602074943483
"MulRF","5",1,"Input: true",15,0.165319737531245
"DupTree","5",1,"Input: true",15,0.084842801571358
"A-Pro","5",1,"Input: true",15,0.0200777840707451
"MulRF","0",0,"Input: Est. (100bp)",16,0.135343357212842
"DupTree","0",0,"Input: Est. (100bp)",16,0.077699944737833
"A-Pro","0",0,"Input: Est. (100bp)",16,0.0385988657269627
"MulRF","0.2",0,"Input: Est. (100bp)",16,0.150427420157939
"DupTree","0.2",0,"Input: Est. (100bp)",16,0.0983492458472028
"A-Pro","0.2",0,"Input: Est. (100bp)",16,0.0536486132442951
"MulRF","1",0,"Input: Est. (100bp)",16,0.164956160262227
"DupTree","1",0,"Input: Est. (100bp)",16,0.0727966057835147
"A-Pro","1",0,"Input: Est. (100bp)",16,0.0552465263195336
"MulRF","2",0,"Input: Est. (100bp)",16,0.133368135225028
"DupTree","2",0,"Input: Est. (100bp)",16,0.0605317336972803
"A-Pro","2",0,"Input: Est. (100bp)",16,0.0482608025707304
"MulRF","5",0,"Input: Est. (100bp)",16,0.139885733164847
"DupTree","5",0,"Input: Est. (100bp)",16,0.091478966572322
"A-Pro","5",0,"Input: Est. (100bp)",16,0.0462094300892204
"MulRF","0",0.1,"Input: Est. (100bp)",16,0.172589227110147
"DupTree","0",0.1,"Input: Est. (100bp)",16,0.0558459222200327
"A-Pro","0",0.1,"Input: Est. (100bp)",16,0.031334253847599
"MulRF","0.2",0.1,"Input: Est. (100bp)",16,0.152683397009969
"DupTree","0.2",0.1,"Input: Est. (100bp)",16,0.050190687912982
"A-Pro","0.2",0.1,"Input: Est. (100bp)",16,0.045061098691076
"MulRF","1",0.1,"Input: Est. (100bp)",16,0.108394578658044
"DupTree","1",0.1,"Input: Est. (100bp)",16,0.0912874411209487
"A-Pro","1",0.1,"Input: Est. (100bp)",16,0.0450974037125707
"MulRF","2",0.1,"Input: Est. (100bp)",16,0.169834992289543
"DupTree","2",0.1,"Input: Est. (100bp)",16,0.0574746348545887
"A-Pro","2",0.1,"Input: Est. (100bp)",16,0.0352765792235732
"MulRF","5",0.1,"Input: Est. (100bp)",16,0.113373685609549
"DupTree","5",0.1,"Input: Est. (100bp)",16,0.0689590457128361
"A-Pro","5",0.1,"Input: Est. (100bp)",16,0.0412719838880002
"MulRF","0",0.5,"Input: Est. (100bp)",16,0.134565407298505
"DupTree","0",0.5,"Input: Est. (100bp)",16,0.0637003486859612
"A-Pro","0",0.5,"Input: Est. (100bp)",16,0.0238816924300045
"MulRF","0.2",0.5,"Input: Est. (100bp)",16,0.134117302410305
"DupTree","0.2",0.5,"Input: Est. (100bp)",16,0.0739980998099782
"A-Pro","0.2",0.5,"Input: Est. (100bp)",16,0.0370112401247025
"MulRF","1",0.5,"Input: Est. (100bp)",16,0.154288247786462
"DupTree","1",0.5,"Input: Est. (100bp)",16,0.0703752043191344
"A-Pro","1",0.5,"Input: Est. (100bp)",16,0.0560890107881278
"MulRF","2",0.5,"Input: Est. (100bp)",16,0.167806369066238
"DupTree","2",0.5,"Input: Est. (100bp)",16,0.0752135174465366
"A-Pro","2",0.5,"Input: Est. (100bp)",16,0.0465690334700048
"MulRF","5",0.5,"Input: Est. (100bp)",16,0.107481613606215
"DupTree","5",0.5,"Input: Est. (100bp)",16,0.0696881254669279
"A-Pro","5",0.5,"Input: Est. (100bp)",16,0.0596112788561731
"MulRF","0",1,"Input: Est. (100bp)",16,0.163684233445674
"DupTree","0",1,"Input: Est. (100bp)",16,0.0608281894004904
"A-Pro","0",1,"Input: Est. (100bp)",16,0.0357649551704526
"MulRF","0.2",1,"Input: Est. (100bp)",16,0.113911367319524
"DupTree","0.2",1,"Input: Est. (100bp)",16,0.0720179993659258
"A-Pro","0.2",1,"Input: Est. (100bp)",16,0.0331734642479569
"MulRF","1",1,"Input: Est. (100bp)",16,0.109457493200898
"DupTree","1",1,"Input: Est. (100bp)",16,0.059159132745117
"A-Pro","1",1,"Input: Est. (100bp)",16,0.0564878540299833
"MulRF","2",1,"Input: Est. (100bp)",16,0.12324148543179
"DupTree","2",1,"Input: Est. (100bp)",16,0.0780002520768903
"A-Pro","2",1,"Input: Est. (100bp)",16,0.0520564142800868
"MulRF","5",1,"Input: Est. (100bp)",16,0.173729488663375
"DupTree","5",1,"Input: Est. (100bp)",16,0.0930948294117115
"A-Pro","5",1,"Input: Est. (100bp)",16,0.0522411526087671
"MulRF","0",0,"Input: Est. (500bp)",16,0.153785154148936
"DupTree","0",0,"Input: Est. (500bp)",16,0.082056726096198
"A-Pro","0",0,"Input: Est. (500bp)",16,0.0252984202466905
"MulRF","0.2",0,"Input: Est. (500bp)",16,0.130005491450429
"DupTree","0.2",0,"Input: Est. (500bp)",16,0.0768134903511964
"A-Pro","0.2",0,"Input: Est. (500bp)",16,0.055131094334647
"MulRF","1",0,"Input: Est. (500bp)",16,0.156905618738383
"DupTree","1",0,"Input: Est. (500bp)",16,0.0846860414603725
"A-Pro","1",0,"Input: Est. (500bp)",16,0.0297425519488752
"MulRF","2",0,"Input: Est. (500bp)",16,0.145993716306984
"DupTree","2",0,"Input: Est. (500bp)",16,0.0920515547622927
"A-Pro","2",0,"Input: Est. (500bp)",16,0.0584023009613156
"MulRF","5",0,"Input: Est. (500bp)",16,0.135267941784114
"DupTree","5",0,"Input: Est. (500bp)",16,0.094561120448634
"A-Pro","5",0,"Input: Est. (500bp)",16,0.0334979838039726
"MulRF","0",0.1,"Input: Est. (500bp)",16,0.169055720474571
"DupTree","0",0.1,"Input: Est. (500bp)",16,0.0628972024773248
"A-Pro","0",0.1,"Input: Est. (500bp)",16,0.0261126877553761
"MulRF","0.2",0.1,"Input: Est. (500bp)",16,0.109401438068599
"DupTree","0.2",0.1,"Input: Est. (500bp)",16,0.0916535900905728
"A-Pro","0.2",0.1,"Input: Est. (500bp)",16,0.0515150603745133
"MulRF","1",0.1,"Input: Est. (500bp)",16,0.158586943577975
"DupTree","1",0.1,"Input: Est. (500bp)",16,0.0783972769160755
"A-Pro","1",0.1,"Input: Est. (500bp)",16,0.0591979016363621
"MulRF","2",0.1,"Input: Est. (500bp)",16,0.168383921273053
"DupTree","2",0.1,"Input: Est. (500bp)",16,0.0645462509593926
"A-Pro","2",0.1,"Input: Est. (500bp)",16,0.0314988947659731
"MulRF","5",0.1,"Input: Est. (500bp)",16,0.100747563447803
"DupTree","5",0.1,"Input: Est. (500bp)",16,0.052836884604767
"A-Pro","5",0.1,"Input: Est. (500bp)",16,0.0567214606516063
"MulRF","0",0.5,"Input: Est. (500bp)",16,0.108862204793841
"DupTree","0",0.5,"Input: Est. (500bp)",16,0.0949778396519832
"A-Pro","0",0.5,"Input: Est. (500bp)",16,0.0270623220317066
"MulRF","0.2",0.5,"Input: Est. (500bp)",16,0.137236196864396
"DupTree","0.2",0.5,"Input: Est. (500bp)",16,0.0581709429505281
"A-Pro","0.2",0.5,"Input: Est. (500bp)",16,0.0520841907337308
"MulRF","1",0.5,"Input: Est. (500bp)",16,0.145334811657667
"DupTree","1",0.5,"Input: Est. (500bp)",16,0.0860222912859172
"A-Pro","1",0.5,"Input: Est. (500bp)",16,0.041950433794409
"MulRF","2",0.5,"Input: Est. (500bp)",16,0.171355588063598
"DupTree","2",0.5,"Input: Est. (500bp)",16,0.0789088855148293
"A-Pro","2",0.5,"Input: Est. (500bp)",16,0.0200283951405436
"MulRF","5",0.5,"Input: Est. (500bp)",16,0.120234274100512
"DupTree","5",0.5,"Input: Est. (500bp)",16,0.098675993271172
"A-Pro","5",0.5,"Input: Est. (500bp)",16,0.0468426858913153
"MulRF","0",1,"Input: Est. (500bp)",16,0.148509502075613
"DupTree","0",1,"Input: Est. (500bp)",16,0.0897277021897026
"A-Pro","0",1,"Input: Est. (500bp)",16,0.0346201236825436
"MulRF","0.2",1,"Input: Est. (500bp)",16,0.147202175743878
"DupTree","0.2",1,"Input: Est. (500bp)",16,0.0939699083683081
"A-Pro","0.2",1,"Input: Est. (500bp)",16,0.0586398859601468
"MulRF","1",1,"Input: Est. (500bp)",16,0.130957443099469
"DupTree","1",1,"Input: Est. (500bp)",16,0.0872625206015073
"A-Pro","1",1,"Input: Est. (500bp)",16,0.0371354293916374
"MulRF","2",1,"Input: Est. (500bp)",16,0.173105763569474
"DupTree","2",1,"Input: Est. (500bp)",16,0.0545999990077689
"A-Pro","2",1,"Input: Est. (500bp)",16,0.0506186711043119
"MulRF","5",1,"Input: Est. (500bp)",16,0.179058709423989
"DupTree","5",1,"Input: Est. (500bp)",16,0.0696122126304545
"A-Pro","5",1,"Input: Est. (500bp)",16,0.0277298051398247
"MulRF","0",0,"Input: true",16,0.142075206153095
"DupTree","0",0,"Input: true",16,0.0540082310326397
"A-Pro","0",0,"Input: true",16,0.0377456296235323
"MulRF","0.2",0,"Input: true",16,0.170414457395673
"DupTree","0.2",0,"Input: true",16,0.0755146423703991
"A-Pro","0.2",0,"Input: true",16,0.0332139103673398
"MulRF","1",0,"Input: true",16,0.16319454908371
"DupTree","1",0,"Input: true",16,0.0592035815818235
"A-Pro","1",0,"Input: true",16,0.0501147068385035
"MulRF","2",0,"Input: true",16,0.130217788554728
"DupTree","2",0,"Input: true",16,0.0594132836908102
"A-Pro","2",0,"Input: true",16,0.0371010878123343
"MulRF","5",0,"Input: true",16,0.155555464010686
"DupTree","5",0,"Input: true",16,0.0828316285274923
"A-Pro","5",0,"Input: true",16,0.0263230072427541
"MulRF","0",0.1,"Input: true",16,0.129597175605595
"DupTree","0",0.1,"Input: true",16,0.0901106303557754
"A-Pro","0",0.1,"Input: true",16,0.0527187217306346
"MulRF","0.2",0.1,"Input: true",16,0.159326546024531
"DupTree","0.2",0.1,"Input: true",16,0.0972563804010861
"A-Pro","0.2",0.1,"Input: true",16,0.0460340467747301
"MulRF","1",0.1,"Input: true",16,0.132472664527595
"DupTree","1",0.1,"Input: true",16,0.0875040947226808
"A-Pro","1",0.1,"Input: true",16,0.0545779794827104
"MulRF","2",0.1,"Input: true",16,0.149205620121211
"DupTree","2",0.1,"Input: true",16,0.0667710227891803
"A-Pro","2",0.1,"Input: true",16,0.0543859239481389
"MulRF","5",0.1,"Input: true",16,0.120947811417282
"DupTree","5",0.1,"Input: true",16,0.0552899587666616
"A-Pro","5",0.1,"Input: true",16,0.0532696066983044
"MulRF","0",0.5,"Input: true",16,0.175439679753035
"DupTree","0",0.5,"Input: true",16,0.0973397022928111
"A-Pro","0",0.5,"Input: true",16,0.0366608634311706
"MulRF","0.2",0.5,"Input: true",16,0.10293503055349
"DupTree","0.2",0.5,"Input: true",16,0.0738091763341799
"A-Pro","0.2",0.5,"Input: true",16,0.0305540762748569
"MulRF","1",0.5,"Input: true",16,0.136810072418302
"DupTree","1",0.5,"Input: true",16,0.0670033065951429
"A-Pro","1",0.5,"Input: true",16,0.0422385548893362
